epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,293.943,2.08099,1.96928,1.3606,0.27543,0.20841,0.16071,0.04164,2.89039,1.99897,1.52957,0.00824502,0.00824502,0.00824502
85,297.341,2.13706,2.02869,1.36956,0.29847,0.28402,0.23376,0.06101,2.69571,1.98844,1.56346,0.00820525,0.00820525,0.00820525
86,300.784,2.12486,1.97557,1.43279,0.35606,0.31284,0.25378,0.0907,2.52821,1.74148,1.4984,0.00816514,0.00816514,0.00816514
87,304.218,2.19022,1.9786,1.41425,0.39918,0.18995,0.18732,0.05225,2.47256,2.21764,1.47719,0.00812468,0.00812468,0.00812468
88,307.665,2.13796,1.96054,1.45098,0.27464,0.27591,0.19801,0.06534,2.66409,1.87549,1.52792,0.00808389,0.00808389,0.00808389
89,311.089,2.16169,1.95268,1.45261,0.32784,0.2842,0.2212,0.08223,2.69818,1.98344,1.45792,0.00804277,0.00804277,0.00804277
90,314.57,2.15041,1.89872,1.40293,0.33571,0.25719,0.2144,0.07245,2.66591,1.81814,1.48552,0.00800131,0.00800131,0.00800131
91,318.055,2.17796,1.92835,1.35069,0.45774,0.31603,0.26006,0.09862,2.39789,1.79084,1.40834,0.00795954,0.00795954,0.00795954
92,321.576,2.19861,1.98117,1.37536,0.24272,0.26225,0.19031,0.06176,2.66165,2.33707,1.48247,0.00791744,0.00791744,0.00791744
93,325.023,2.12933,1.91266,1.37606,0.33305,0.29327,0.17783,0.0474,2.92719,2.18671,1.64584,0.00787503,0.00787503,0.00787503
94,328.51,2.19953,1.99574,1.4251,0.42513,0.32214,0.27777,0.09646,2.66544,1.74674,1.5026,0.00783231,0.00783231,0.00783231
95,331.953,2.12495,1.85286,1.36483,0.45428,0.36591,0.30361,0.10449,2.58669,1.67103,1.47466,0.00778929,0.00778929,0.00778929
96,335.454,2.15078,1.88133,1.38987,0.41898,0.31248,0.2621,0.10817,2.45079,1.78308,1.41559,0.00774596,0.00774596,0.00774596
97,339.034,2.11157,1.88185,1.33512,0.34489,0.36626,0.29251,0.08838,2.42825,1.75403,1.42236,0.00770234,0.00770234,0.00770234
98,342.556,2.14944,1.92101,1.4186,0.408,0.31818,0.27241,0.08121,2.70227,1.85805,1.55223,0.00765843,0.00765843,0.00765843
99,345.985,2.2128,1.92099,1.39733,0.46578,0.29776,0.27109,0.06954,2.72408,1.7366,1.5761,0.00761423,0.00761423,0.00761423
100,349.407,2.14612,1.86911,1.32264,0.38765,0.35311,0.31707,0.0964,2.59204,1.76466,1.4633,0.00756976,0.00756976,0.00756976
101,352.846,2.15009,1.83642,1.37641,0.48812,0.29969,0.26142,0.07749,2.89118,2.04944,1.74976,0.007525,0.007525,0.007525
102,356.306,2.05074,1.76056,1.32501,0.4682,0.33506,0.33737,0.10836,2.53324,1.71391,1.4743,0.00747997,0.00747997,0.00747997
103,359.779,2.11806,1.81922,1.36136,0.47213,0.28137,0.29339,0.09848,2.53195,2.00722,1.54099,0.00743468,0.00743468,0.00743468
104,363.221,2.08818,1.80003,1.38828,0.52405,0.33232,0.32213,0.11186,2.45979,1.69382,1.42514,0.00738913,0.00738913,0.00738913
105,366.719,2.10452,1.81559,1.37068,0.60174,0.26523,0.32443,0.11119,2.47718,1.65975,1.4248,0.00734332,0.00734332,0.00734332
106,370.153,2.14559,1.78081,1.42675,0.43247,0.31166,0.2915,0.07638,2.65764,1.74116,1.54277,0.00729725,0.00729725,0.00729725
107,373.589,2.04289,1.72113,1.33254,0.47375,0.33067,0.30913,0.09306,2.62304,1.58435,1.49043,0.00725094,0.00725094,0.00725094
108,377.014,2.08187,1.74697,1.38321,0.54571,0.33171,0.32734,0.09701,2.46588,1.74276,1.38085,0.00720439,0.00720439,0.00720439
109,380.445,2.07539,1.78572,1.38965,0.57135,0.31818,0.35476,0.11228,2.60734,1.64813,1.47443,0.00715761,0.00715761,0.00715761
110,383.907,2.07096,1.78539,1.36179,0.41199,0.39752,0.32864,0.10247,2.55267,1.59136,1.54224,0.00711059,0.00711059,0.00711059
111,387.357,2.10085,1.78594,1.3702,0.47991,0.35988,0.33144,0.09513,2.74395,1.65729,1.56086,0.00706335,0.00706335,0.00706335
112,390.949,2.07442,1.7713,1.33961,0.43124,0.36115,0.32285,0.09054,2.71608,1.6944,1.52843,0.00701588,0.00701588,0.00701588
113,394.453,2.09483,1.73356,1.32644,0.55381,0.30643,0.30929,0.09877,2.66292,1.65713,1.46329,0.0069682,0.0069682,0.0069682
114,398.006,2.08823,1.73783,1.33429,0.46401,0.37658,0.30756,0.10893,2.49393,1.66091,1.38,0.00692031,0.00692031,0.00692031
115,401.533,2.14058,1.80675,1.37195,0.38515,0.29395,0.24366,0.08066,2.77579,2.06987,1.56007,0.00687222,0.00687222,0.00687222
116,405.044,2.01136,1.71292,1.33035,0.61663,0.3702,0.36601,0.13393,2.41753,1.50707,1.41157,0.00682392,0.00682392,0.00682392
117,408.652,2.06875,1.73669,1.31482,0.45414,0.36364,0.34003,0.11316,2.59702,1.63657,1.53776,0.00677543,0.00677543,0.00677543
118,412.181,1.99412,1.73385,1.34743,0.49254,0.32198,0.31741,0.09707,2.63245,1.6483,1.471,0.00672675,0.00672675,0.00672675
119,415.754,2.01488,1.74131,1.35948,0.50913,0.29828,0.31823,0.09861,2.72201,1.74102,1.58992,0.00667789,0.00667789,0.00667789
120,419.265,2.06928,1.70282,1.36306,0.53064,0.40767,0.38009,0.10581,2.62813,1.94277,1.47474,0.00662885,0.00662885,0.00662885
121,422.697,2.10596,1.72195,1.3575,0.50379,0.36052,0.37322,0.13249,2.54397,1.73954,1.44059,0.00657963,0.00657963,0.00657963
122,426.183,2.05238,1.72357,1.35252,0.49122,0.41286,0.36303,0.11694,2.78171,1.55634,1.53988,0.00653025,0.00653025,0.00653025
123,429.603,2.02835,1.62538,1.31241,0.44514,0.35847,0.33918,0.12824,2.57843,1.69046,1.37263,0.00648071,0.00648071,0.00648071
124,433.039,2.10122,1.75031,1.35052,0.3787,0.39227,0.30795,0.09991,2.59403,1.75902,1.454,0.00643101,0.00643101,0.00643101
125,436.599,2.12571,1.7539,1.33727,0.56157,0.32496,0.34676,0.09817,2.66534,1.72256,1.53852,0.00638115,0.00638115,0.00638115
126,440.018,2.03004,1.67072,1.32424,0.60572,0.34586,0.33009,0.08646,2.73807,1.66248,1.48929,0.00633115,0.00633115,0.00633115
127,443.468,2.06157,1.70656,1.34253,0.49741,0.34663,0.32253,0.11441,2.60576,1.59512,1.45516,0.00628101,0.00628101,0.00628101
128,446.916,2.00459,1.59505,1.32828,0.50356,0.32957,0.34054,0.11267,2.63478,1.50633,1.40783,0.00623074,0.00623074,0.00623074
129,450.335,2.04652,1.65527,1.32261,0.55564,0.32838,0.32441,0.07922,2.74479,1.61775,1.56967,0.00618034,0.00618034,0.00618034
130,453.762,2.05472,1.63456,1.32929,0.49571,0.43103,0.41366,0.15599,2.44528,1.56122,1.36536,0.00612981,0.00612981,0.00612981
131,457.272,2.03335,1.62447,1.3047,0.57257,0.43571,0.41423,0.15617,2.50812,1.50191,1.38251,0.00607916,0.00607916,0.00607916
132,460.764,2.08503,1.64935,1.34126,0.56254,0.38984,0.4083,0.13811,2.65894,1.47316,1.52736,0.0060284,0.0060284,0.0060284
133,464.207,2.06173,1.6095,1.33651,0.64248,0.32393,0.36158,0.13111,2.50581,1.47095,1.43407,0.00597754,0.00597754,0.00597754
134,467.661,1.9977,1.673,1.34384,0.49804,0.49431,0.4593,0.14922,2.54825,1.55506,1.51462,0.00592657,0.00592657,0.00592657
135,471.097,1.9796,1.5473,1.3349,0.63739,0.41813,0.41287,0.13392,2.60654,1.6223,1.58747,0.00587551,0.00587551,0.00587551
136,474.532,2.05561,1.65483,1.37334,0.5846,0.34346,0.38062,0.13016,2.59433,1.62525,1.45444,0.00582435,0.00582435,0.00582435
137,477.988,1.98638,1.59738,1.33033,0.62577,0.38136,0.41774,0.14036,2.58727,1.46566,1.42398,0.00577311,0.00577311,0.00577311
138,481.417,1.98911,1.56358,1.32882,0.60331,0.34062,0.38052,0.12485,2.64606,1.76829,1.5121,0.00572179,0.00572179,0.00572179
139,484.887,2.00935,1.56093,1.31158,0.69826,0.42539,0.4438,0.12172,2.63883,1.35993,1.48236,0.0056704,0.0056704,0.0056704
140,488.314,1.97428,1.56297,1.32443,0.56598,0.43845,0.42483,0.14351,2.64415,1.41798,1.53224,0.00561894,0.00561894,0.00561894
141,491.818,2.02866,1.48326,1.27216,0.56677,0.38516,0.42202,0.12989,2.6855,1.68847,1.41531,0.00556742,0.00556742,0.00556742
142,495.257,2.05236,1.58282,1.34193,0.62396,0.4425,0.43394,0.12155,2.72196,1.39373,1.52916,0.00551584,0.00551584,0.00551584
143,498.687,1.96953,1.56486,1.29773,0.5809,0.45526,0.45273,0.15888,2.48017,1.40533,1.38546,0.00546421,0.00546421,0.00546421
144,502.16,1.94058,1.47937,1.31421,0.59959,0.44116,0.43329,0.14104,2.61574,1.43905,1.48081,0.00541253,0.00541253,0.00541253
145,505.605,1.97188,1.48718,1.29926,0.70329,0.35901,0.39678,0.12444,2.74764,1.43225,1.48511,0.00536081,0.00536081,0.00536081
146,509.027,1.98126,1.49231,1.29706,0.68457,0.42533,0.44563,0.13355,2.66976,1.55208,1.49887,0.00530906,0.00530906,0.00530906
147,512.452,2.00712,1.5496,1.30074,0.49033,0.47694,0.43068,0.12357,2.65169,1.51427,1.48051,0.00525728,0.00525728,0.00525728
148,515.871,1.99462,1.53705,1.26982,0.59927,0.42902,0.41623,0.12544,2.70804,1.51266,1.52589,0.00520548,0.00520548,0.00520548
149,519.283,1.94442,1.48606,1.30106,0.58322,0.36689,0.36237,0.11209,2.54235,1.41337,1.39328,0.00515366,0.00515366,0.00515366
150,522.733,1.9927,1.42173,1.26062,0.66393,0.42963,0.44749,0.17705,2.48934,1.35296,1.42213,0.00510184,0.00510184,0.00510184
151,526.208,1.97929,1.49085,1.30263,0.62102,0.4268,0.40562,0.14722,2.56946,1.40564,1.46254,0.00505,0.00505,0.00505
152,529.68,1.99216,1.48497,1.33676,0.81644,0.38476,0.46314,0.16925,2.50409,1.29393,1.4031,0.00499816,0.00499816,0.00499816
153,533.1,1.98249,1.47174,1.30223,0.53982,0.44596,0.42125,0.12102,2.71273,1.38707,1.51682,0.00494634,0.00494634,0.00494634
154,536.525,1.9493,1.46578,1.32498,0.59244,0.39896,0.41474,0.13569,2.64338,1.38222,1.48329,0.00489452,0.00489452,0.00489452
155,540.036,1.87749,1.45534,1.27822,0.513,0.43818,0.42435,0.14065,2.5979,1.41708,1.4541,0.00484272,0.00484272,0.00484272
156,543.51,1.93391,1.46868,1.30027,0.64894,0.36449,0.39672,0.15005,2.48937,1.29466,1.42169,0.00479094,0.00479094,0.00479094
157,546.941,1.89476,1.38405,1.2668,0.67672,0.40853,0.45522,0.15002,2.61267,1.37436,1.5611,0.00473919,0.00473919,0.00473919
158,550.378,1.93818,1.46319,1.27628,0.62164,0.43144,0.4414,0.13449,2.71755,1.35248,1.51916,0.00468747,0.00468747,0.00468747
159,553.812,1.96106,1.44383,1.26283,0.64692,0.43571,0.44701,0.13843,2.61012,1.3085,1.47234,0.00463579,0.00463579,0.00463579
160,557.244,1.89589,1.42599,1.28844,0.59546,0.44008,0.43268,0.14904,2.43401,1.33046,1.34779,0.00458416,0.00458416,0.00458416
161,560.673,2.02098,1.40998,1.25551,0.55675,0.45027,0.42147,0.13859,2.56966,1.37094,1.41366,0.00453258,0.00453258,0.00453258
162,564.095,1.98094,1.40526,1.24434,0.57362,0.43488,0.43875,0.1365,2.55077,1.38617,1.3939,0.00448106,0.00448106,0.00448106
163,567.547,1.99121,1.47539,1.27398,0.52148,0.47224,0.43563,0.14786,2.66117,1.42642,1.57115,0.0044296,0.0044296,0.0044296
164,570.973,1.97789,1.4953,1.28847,0.52597,0.44953,0.42038,0.1427,2.62795,1.36147,1.49063,0.00437821,0.00437821,0.00437821
165,574.398,1.88756,1.39299,1.27756,0.5867,0.41586,0.44605,0.15937,2.50358,1.35697,1.40175,0.00432689,0.00432689,0.00432689
166,577.834,1.87669,1.36493,1.28625,0.67545,0.37978,0.40983,0.12742,2.71507,1.34804,1.53002,0.00427565,0.00427565,0.00427565
167,581.258,1.85046,1.28531,1.26291,0.67183,0.45108,0.46865,0.15541,2.53288,1.30516,1.41034,0.00422449,0.00422449,0.00422449
168,584.686,1.90526,1.34775,1.23976,0.6463,0.46162,0.48635,0.15662,2.59287,1.3407,1.4241,0.00417343,0.00417343,0.00417343
