epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,9639.06,1.15068,0.59594,1.05959,0.95162,0.96193,0.9781,0.68871,1.08985,0.51715,1.06642,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9787.15,1.14324,0.5954,1.05499,0.94667,0.96119,0.97236,0.68684,1.08476,0.51446,1.06326,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9936.96,1.15227,0.59763,1.05578,0.95065,0.96193,0.97223,0.68828,1.0823,0.51549,1.06277,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10085.6,1.1472,0.60156,1.05205,0.95301,0.96085,0.97603,0.69093,1.0757,0.51108,1.0591,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10231.9,1.14774,0.5925,1.05524,0.95232,0.9631,0.97226,0.69053,1.07458,0.51138,1.06033,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10381.7,1.132,0.59225,1.05111,0.95286,0.96193,0.9725,0.69353,1.06949,0.51269,1.06069,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10530.3,1.11729,0.58163,1.04676,0.95214,0.96108,0.97732,0.69655,1.06325,0.50576,1.05875,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10680.1,1.12499,0.58926,1.04763,0.95067,0.96197,0.97718,0.69762,1.05642,0.49856,1.05361,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10828.5,1.12944,0.58555,1.04744,0.94871,0.96277,0.9726,0.69551,1.05283,0.49841,1.05155,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10979.6,1.11749,0.57352,1.04201,0.94578,0.96277,0.97268,0.69912,1.04453,0.49794,1.04999,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11126.1,1.11856,0.5746,1.04288,0.9507,0.96253,0.97342,0.70037,1.04641,0.50312,1.05059,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11273.8,1.11579,0.5778,1.0464,0.95196,0.96193,0.97314,0.70104,1.04296,0.50183,1.04987,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11422.4,1.10748,0.56724,1.0402,0.94994,0.96334,0.97312,0.70209,1.0391,0.49783,1.04743,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11573.4,1.1079,0.56831,1.04232,0.95623,0.96114,0.97383,0.70305,1.03815,0.49504,1.04698,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11721.8,1.10492,0.5615,1.04151,0.94851,0.96193,0.97348,0.70299,1.03697,0.49473,1.04645,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11872.8,1.11013,0.57116,1.04542,0.95058,0.96009,0.97305,0.70488,1.03713,0.49265,1.04701,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12020.9,1.09426,0.55693,1.03705,0.948,0.96193,0.97302,0.70487,1.037,0.49274,1.04836,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12172.3,1.09132,0.55959,1.03422,0.95222,0.96106,0.97335,0.70519,1.03306,0.48983,1.04532,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12322.3,1.09817,0.55465,1.03179,0.95224,0.96151,0.97336,0.70474,1.03002,0.48917,1.04334,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12470.1,1.08785,0.55331,1.03345,0.94985,0.96139,0.97371,0.70552,1.02817,0.4852,1.04181,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12619.7,1.08637,0.54359,1.03453,0.9483,0.96204,0.97394,0.70646,1.02567,0.48286,1.04041,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12766.9,1.08458,0.54521,1.03518,0.94981,0.9606,0.97424,0.70607,1.02479,0.48168,1.04017,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12918.5,1.07382,0.54186,1.02505,0.951,0.96024,0.97452,0.70772,1.02373,0.48014,1.0404,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13067.4,1.07173,0.54022,1.02669,0.95154,0.96108,0.97466,0.70873,1.02408,0.47829,1.04047,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13217.4,1.07291,0.53794,1.02945,0.95137,0.96362,0.97464,0.70818,1.02262,0.47774,1.03973,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
